Beschrijving,Aantal,Start date,Final date,Status,Vendor ,Categorie,Contactpersoon,Type product,Beursregio,Productcategorie
Proactis E12011 Mnged Service scan fact.,,,,Batch 1: verlengingen voor 31-12-2025,Proactis,bedrijfsapplicatie,Ronald Coppoolse,Open source,EU,Security
Pepperflow begroting App Planning &Control,,6/16/2024,6/16/2025,Batch 1: verlengingen voor 31-12-2025,Pepperflow,bedrijfsapplicatie,Ronald Coppoolse,Closed source,VS,Data
Studytube- Bedrijfsacademy en LMS,,7/8/2025,7/7/2025,Batch 1: verlengingen voor 31-12-2025,Studytube B.V.,bedrijfsapplicatie,Merel Toorop-van Rens,Hardware,EU,Gemeente Specifiek
Tools4ever HelloID Service Automation,,,,Batch 1: verlengingen voor 31-12-2025,Tools4ever,bedrijfsapplicatie,Ronald Coppoolse,Open source,VS,Werkplek virtualisatie
iASSET gebruik,,,,Batch 1: verlengingen voor 31-12-2025,iAsset,bedrijfsapplicatie,Gerrie Eikenhout,Closed source,EU,Collaboration
Facilitor - C2226 PZEE,1,11/1/2024,10/31/2025,Batch 1: verlengingen voor 31-12-2025,Aareon Nederland BV,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,VS,Datacenter
Solarwinds Serv-U MFT Server,2,11/20/2024,11/20/2025,Batch 1: verlengingen voor 31-12-2025,Solarwinds,software,Benny Houterman,Open source,EU,Back-up
Licenties axesWord,1,11/27/2024,11/26/2025,Batch 1: verlengingen voor 31-12-2025,Swink webservices,bedrijfsapplicatie,Katinka de Bakker,Closed source,VS,ERP
BlueDolphin Platform Costs,1,12/20/2024,12/19/2025,Batch 1: verlengingen voor 31-12-2025,ValueBlue,bedrijfsapplicatie,Aart Allemekinders,Hardware,EU,Security
BlueDolphin users,1,12/20/2024,12/19/2025,Batch 1: verlengingen voor 31-12-2025,ValueBlue,bedrijfsapplicatie,Aart Allemekinders,Open source,ASIA,Data
BrightEdge Subscription Charges,1,12/21/2023,12/20/2025,Batch 1: verlengingen voor 31-12-2025,Brightedge,software,Amber Neecke,Closed source,ME,Gemeente Specifiek
ArcGIS Online Viewer,3,12/31/2024,12/30/2025,Batch 1: verlengingen voor 31-12-2025,Esri Nederland,bedrijfsapplicatie,Sander Schipper,Hardware,AF,Werkplek virtualisatie
Jaarabonnement juridische collectie,,1/1/2025,12/31/2025,Batch 1: verlengingen voor 31-12-2025,Kluwer,bedrijfsapplicatie,Garib Bouziani,Open source,EU,Collaboration
IJK Software,,,,Batch 1: verlengingen voor 31-12-2025,IJK B.V.,bedrijfsapplicatie,Gary Jankowski,Closed source,VS,Datacenter
Renewal IO Digital,,,,Batch 1: verlengingen voor 31-12-2025,IO Digital,bedrijfsapplicatie,Tess Smolders,Hardware,EU,Back-up
Nimblr additional licenses maart,,,,Batch 1: verlengingen voor 31-12-2025,Nimblr,bedrijfsapplicatie,Hans Quist,Open source,VS,ERP
Accept RT Router,12,12/1/2024,12/31/2025,Batch 2: verlengingen op 31-12-2025,Accept Institute,bedrijfsapplicatie,Ruben Goedee,Closed source,EU,Security
B3Partners uitbreiding SLA +,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,B3partners,bedrijfsapplicatie,Aart Allemekinders,Hardware,VS,Data
Gebruiksrecht Work & Move coach,100,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Bakker & Elkhuizen ergonomie,software,Benny Houterman,Open source,EU,Gemeente Specifiek
plaece.base Extra Large,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Citynavigator,bedrijfsapplicatie,Tess Smolders,Closed source,VS,Werkplek virtualisatie
DMARC Manager Government- Reporting,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,DMARC,software,Benny Houterman,Hardware,EU,Collaboration
Jaarlijkse kosten,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,EM Cultuur,bedrijfsapplicatie,Melanie Hoogendoorn,Open source,ASIA,Datacenter
Esri software,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Esri Nederland,bedrijfsapplicatie,Sander Schipper,Closed source,ME,Back-up
Jaarabonnement Monument - online Zeeland,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Fenick's BV,bedrijfsapplicatie,Tilly Macleane ,Hardware,AF,ERP
GISkit hosting,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Giskit,bedrijfsapplicatie,Jack Schinkel,Open source,EU,Security
Giskit ondersteuning,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Giskit,bedrijfsapplicatie,Jack Schinkel,Closed source,VS,Data
Aansluitingen (GISkit en Enable-U),1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Giskit,bedrijfsapplicatie,Jack Schinkel,Hardware,EU,Gemeente Specifiek
Omgevingswet software,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Giskit,bedrijfsapplicatie,Jack Schinkel,Open source,VS,Werkplek virtualisatie
PlanTekst NLM,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Giskit,bedrijfsapplicatie,Jack Schinkel,Closed source,EU,Collaboration
iBabs meer/minder gebruik,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,iBabs B.V.,bedrijfsapplicatie,Wim Minderhoud,Hardware,VS,Datacenter
"iBabs software licenses 830 users, 1Y",1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,iBabs B.V.,bedrijfsapplicatie,Wim Minderhoud,Open source,EU,Back-up
Ibis apps.ibiscloud.nl,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Closed source,VS,ERP
Ibis Besteksadministratie voor Infra Pro,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Hardware,EU,Security
Ibis Calculeren voor Infra Pro,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Open source,ASIA,Data
